# Energy from Jumos simulation
# step	Ekin(kJ/mol)	Epot(kJ/mol)	Etot(kJ/mol)	T(K)
3799	373.1638905982307	-406.25154510695995	-33.08765450872926	239.36694661704362
3809	412.11133521214094	-445.2918383984516	-33.18050318631066	264.34988609927103
3819	388.46999265972437	-421.59042643228287	-33.1204337725585	249.18508552966745
3829	380.9466068273078	-414.05955902690266	-33.11295219959487	244.35919015152547
3839	385.881755362287	-419.00744235788375	-33.125686995596766	247.52485399436338
3849	387.11543216710476	-420.30081709059505	-33.18538492349029	248.3161991842961
3859	358.11442809651135	-391.1985671721441	-33.08413907563278	229.71342981645174
3869	387.06794731155884	-420.2327481430716	-33.164800831512764	248.28573990040252
3879	404.4738939830729	-437.59878892818324	-33.12489494511033	259.4508295907799
3889	391.76831510055445	-424.9276078973942	-33.159292796839736	251.30080302407526
3899	360.6165947553214	-393.7507663864765	-33.13417163115514	231.31845111710908
3909	362.497580785947	-395.5890895768015	-33.091508790854505	232.5250144908009
3919	394.6458733277303	-427.8718055656533	-33.22593223792296	253.14662022103832
3929	361.6953363605049	-394.79336070083116	-33.098024340326276	232.01041272091695
3939	386.19069310672023	-419.34641961657644	-33.15572650985621	247.72302291274715
3949	399.4717224389234	-432.6342856585937	-33.16256321967029	256.2421736646713
3959	382.51701343456193	-415.65953012636203	-33.1425166918001	245.36653154761558
3969	362.77028910869365	-395.93899636042215	-33.168707251728506	232.6999439525671
3979	363.79526600170016	-396.93857086271845	-33.143304861018294	233.35741804213848
3989	388.6220852948532	-421.7452436377821	-33.12315834292889	249.28264574540904
3999	395.8727499572566	-429.0267666175372	-33.154016660280604	253.93360342087232
4009	387.6690824150611	-420.79559415198895	-33.12651173692785	248.67133957350856
4019	394.6269154484616	-427.76218095667986	-33.135265508218254	253.13445964015358
4029	402.64789239264763	-435.7776096745415	-33.129717281893875	258.27953612903235
4039	384.2277156042631	-417.36765801868825	-33.13994241442515	246.46386589654216
4049	363.373316627132	-396.4800979677955	-33.106781340663474	233.0867575201479
4059	374.7292411204492	-407.89166237064563	-33.16242125019642	240.3710447742586
4069	361.96649059863586	-395.07543630607785	-33.10894570744199	232.18434531107098
4079	379.6403437228136	-412.7968862450272	-33.15654252221361	243.52128429118082
4089	388.9037252666091	-422.0608756215398	-33.15715035493071	249.46330443662495
4099	376.6597612395071	-409.81738459427237	-33.15762335476529	241.60938191760016
4109	372.632584426167	-405.74718600147537	-33.11460157530837	239.0261388933333
4119	390.09064838295376	-423.299552636755	-33.20890425380122	250.22465935168157
4129	363.5176791862623	-396.59995383330636	-33.08227464704407	233.17935925856756
4139	376.72916390959017	-409.86233563113376	-33.13317172154359	241.65390044054254
4149	388.34054046118706	-421.48980600616835	-33.14926554498129	249.1020480807678
4159	386.83393884776825	-420.02454810621464	-33.190609258446386	248.1356345636554
4169	351.8268777226462	-384.9308205722815	-33.1039428496353	225.68026430228534
4179	368.81923203684426	-402.00769568044785	-33.1884636436036	236.58005410108913
4189	361.4709019327726	-394.5523579323088	-33.08145599953616	231.86644867446037
4199	383.2414776714362	-416.4235412685564	-33.18206359712019	245.83124101357126
4209	358.09713042770085	-391.2029839794464	-33.105853551745554	229.70233418187647
4219	367.83742685672917	-400.98296520512844	-33.14553834839927	235.9502726188557
4229	376.5492641188631	-409.7177598681995	-33.16849574933639	241.5385032526358
4239	355.93178676634244	-389.0504852052355	-33.118698438893034	228.31336886756105
4249	355.137938292802	-388.28848301931373	-33.150544726511725	227.8041527028262
4259	354.3465507772033	-387.46734402132057	-33.120793244117294	227.2965151259534
4269	391.82049290252604	-425.0622808923947	-33.24178798986867	251.33427261063977
4279	377.99849907234307	-411.14917857822695	-33.150679505883886	242.46811877676666
4289	355.27775616374174	-388.3991109957918	-33.12135483205003	227.89383923920488
4299	377.78059129245116	-410.9801763155402	-33.199585023089014	242.32834126551495
4309	401.17810020739665	-434.42975626261597	-33.251656055219314	257.3367341152012
4319	351.51907350169023	-384.6319173943028	-33.112843892612545	225.4828224854794
4329	333.8030160701965	-366.95272072737015	-33.14970465717363	214.11881144285005
4339	337.7790872806777	-370.947810515748	-33.16872323507033	216.66927264545743
4349	339.85296786922254	-372.97334882526025	-33.12038095603771	217.99956873421488
4359	375.06444596566865	-408.24260215754725	-33.1781561918786	240.58606279264933
4369	384.33323846561194	-417.48956588549765	-33.15632741988571	246.53155380996506
4379	369.65888601791187	-402.783649079531	-33.12476306161915	237.11865232757026
4389	380.4334068680025	-413.6009392502856	-33.16753238228307	244.0299967050053
4399	383.75140567330635	-416.9284608919516	-33.17705521864525	246.15833565449836
4409	362.45982939722234	-395.5927046227857	-33.13287522556334	232.5007987644746
4419	380.5021172996963	-413.69490222965464	-33.19278492995835	244.07407118983537
4429	367.2805503229557	-400.4113831912243	-33.130832868268556	235.59306272022823
4439	353.10747075197816	-386.2589245831929	-33.151453831214724	226.50170402625983
4449	350.83571178482396	-383.9527311807905	-33.117019395966565	225.04447833771363
4459	364.50847743263716	-397.6816754186829	-33.17319798604575	233.81490936650556
4469	359.29210399325734	-392.4336348273905	-33.141530834133164	230.46885307848459
4479	384.0190207171076	-417.2274787098961	-33.20845799278851	246.32999801925934
4489	371.0278637161047	-404.15062021875076	-33.12275650264604	237.9967866268936
4499	361.4173075361038	-394.56729194792604	-33.14998441182223	231.8320704095488
4509	362.27564183250274	-395.39198874713685	-33.11634691463411	232.3826511728063
4519	376.344986880294	-409.57606151380253	-33.23107463350851	241.40746908750998
4529	346.4398090981222	-379.5080534100123	-33.068244311890055	222.22471514451027
4539	405.436514985562	-438.6500894842454	-33.21357449868344	260.06830533245966
4549	404.3175187075127	-437.4442725273795	-33.12675381986679	259.3505222642129
4559	377.7851704986108	-410.96598729199275	-33.18081679338195	242.33127860919686
4569	331.3711890363725	-364.48681694840667	-33.11562791203414	212.5589096772906
4579	352.02773241666	-385.2248889527472	-33.19715653608722	225.80910306731886
4589	368.50407482432536	-401.7033271408976	-33.199252316572256	236.37789568875175
4599	355.78176344322134	-388.97310325988985	-33.19133981666852	228.21713601738026
4609	339.70071215891085	-372.8433154596762	-33.14260330076536	217.90190391347383
4619	361.24976195015955	-394.3721003102709	-33.12233836011137	231.72459785838015
4629	393.1187189912315	-426.2982297542511	-33.17951076301961	252.1670231063371
4639	392.32714875128664	-425.47452924538914	-33.14738049410249	251.65926832045798
4649	404.6675715362159	-437.88272736122406	-33.21515582500814	259.575064560165
4659	361.7147591879838	-394.81247952510375	-33.09772033711994	232.02287154403854
4669	357.7152917304383	-390.89215852703916	-33.17686679660085	229.45740275799878
4679	366.6777605325564	-399.8827043534028	-33.20494382084638	235.20640164391537
4689	349.0584826615506	-382.20678238452496	-33.14829972297434	223.90447010166795
4699	361.64659993787217	-394.7982687973787	-33.151668859506515	231.9791506160656
4709	378.18579398564117	-411.39190259992006	-33.20610861427889	242.58825958524946
4719	355.4731025467964	-388.6199299431803	-33.14682739638391	228.01914468387022
4729	361.10950422600104	-394.1857536062895	-33.07624938028846	231.6346291770121
4739	405.92555416634485	-439.1514664914608	-33.22591232511593	260.3820007848584
4749	392.29147046144095	-425.39876669687783	-33.10729623543688	251.6363823887908
4759	406.17489612883384	-439.3565330592355	-33.18163693040168	260.541941834162
4769	383.15541796344235	-416.2911168758086	-33.13569891236625	245.77603779040777
4779	380.3224181446658	-413.45423750591846	-33.13181936125267	243.95880270021712
4789	380.5091905572084	-413.6989595752489	-33.18976901804052	244.07860834923355
4799	362.49788741955996	-395.59626884395783	-33.09838142439787	232.52521118172817
4809	388.0761546964329	-421.26337297347305	-33.18721827704013	248.93245714543704
4819	386.13608912150704	-419.26353183317684	-33.1274427116698	247.68799704464226
4829	408.74950444030276	-441.9374636241631	-33.18795918386036	262.19343102102624
4839	382.9800733056576	-416.0985681139296	-33.11849480827203	245.66356250435513
4849	380.5004413730363	-413.68471251064165	-33.18427113760532	244.0729961623274
4859	357.77751907929803	-390.9172761077909	-33.13975702849285	229.4973186525103
4869	350.85494268488134	-383.9969502664069	-33.14200758152555	225.05681404849224
4879	371.2796986724657	-404.4452033997887	-33.16550472732297	238.15832681358992
4889	380.88484505548905	-414.11041734693606	-33.22557229144701	244.31957290261585
4899	359.0082922653242	-392.1442755502955	-33.1359832849713	230.28680130862938
4909	360.6751402519448	-393.7898411320096	-33.11470088006479	231.35600527794298
4919	377.98154886794407	-411.1367391614031	-33.15519029345904	242.45724602414043
4929	381.57984644770596	-414.7342746369038	-33.15442818919786	244.76538335036003
4939	387.33426067565324	-420.41897054254923	-33.08470986689599	248.45656729933543
4949	419.6128563291613	-452.7816864213769	-33.168830092215615	269.1617562989461
4959	390.9137479245972	-424.0568610708805	-33.14311314628327	250.7526386900072
4969	357.1172636598926	-390.18710003577735	-33.069836375884734	229.07379609925079
4979	380.65286421703877	-413.8243426491556	-33.17147843211683	244.1707681914084
4989	379.8171352090963	-412.96183482743714	-33.14469961834084	243.6346876491304
4999	379.21469490297955	-412.3382028430674	-33.12350794008785	243.24825075041807
